customer_id,signup_date,customer_type,region
CUST_0001,2023-01-26,Unknown,East
CUST_0002,2023-04-05,Unknown,East
CUST_0003,2023-02-07,Unknown,West
CUST_0004,2023-01-13,Unknown,East
CUST_0005,2023-04-22,Unknown,West
CUST_0006,2023-04-20,Unknown,West
CUST_0007,2023-02-02,Unknown,West
CUST_0008,2023-02-11,Unknown,North
CUST_0009,2023-03-06,Unknown,East
CUST_0010,2023-04-30,Unknown,North
CUST_0011,2023-02-22,Unknown,North
CUST_0012,2023-03-21,Unknown,West
CUST_0013,2023-01-28,Unknown,East
CUST_0014,2023-01-07,Unknown,North
CUST_0015,2023-03-14,Unknown,East
CUST_0016,2023-02-05,Unknown,East
CUST_0017,2023-03-26,Unknown,East
CUST_0018,2023-02-14,Unknown,East
CUST_0019,2023-03-15,Unknown,South
CUST_0020,2023-02-14,Unknown,South
CUST_0021,2023-01-26,Unknown,South
CUST_0022,2023-03-25,Unknown,West
CUST_0023,2023-01-09,Unknown,East
CUST_0024,2023-03-27,Unknown,East
CUST_0025,2023-03-09,Unknown,East
CUST_0026,2023-04-20,Unknown,East
CUST_0027,2023-01-22,Unknown,East
CUST_0028,2023-01-18,Unknown,North
CUST_0029,2023-01-20,Unknown,North
CUST_0030,2023-04-05,Unknown,East
CUST_0031,2023-02-12,Unknown,South
CUST_0032,2023-04-30,Unknown,North
CUST_0033,2023-04-28,Unknown,North
CUST_0034,2023-03-21,Unknown,South
CUST_0035,2023-04-07,Unknown,South
CUST_0036,2023-04-15,Unknown,West
CUST_0037,2023-05-01,Unknown,South
CUST_0038,2023-02-26,Unknown,East
CUST_0039,2023-03-31,Unknown,East
CUST_0040,2023-03-29,Unknown,West
CUST_0041,2023-03-01,Unknown,South
CUST_0042,2023-01-19,Unknown,West
CUST_0043,2023-03-20,Unknown,South
CUST_0044,2023-02-02,Unknown,East
CUST_0045,2023-02-07,Unknown,South
CUST_0046,2023-03-17,Unknown,West
CUST_0047,2023-03-23,Unknown,South
CUST_0048,2023-03-06,Unknown,East
CUST_0049,2023-01-04,Unknown,North
CUST_0050,2023-04-18,Unknown,South
CUST_0051,2023-01-01,Unknown,West
CUST_0052,2023-03-23,Unknown,East
CUST_0053,2023-02-07,Unknown,East
CUST_0054,2023-02-01,Unknown,East
CUST_0055,2023-01-22,Unknown,West
CUST_0056,2023-02-05,Unknown,East
CUST_0057,2023-04-06,Unknown,West
CUST_0058,2023-03-01,Unknown,South
CUST_0059,2023-04-24,Unknown,North
CUST_0060,2023-04-17,Unknown,North
CUST_0061,2023-02-19,Unknown,South
CUST_0062,2023-02-18,Unknown,West
CUST_0063,2023-01-12,Unknown,West
CUST_0064,2023-04-28,Unknown,West
CUST_0065,2023-04-21,Unknown,West
CUST_0066,2023-02-22,Unknown,West
CUST_0067,2023-03-04,Unknown,South
CUST_0068,2023-02-02,Unknown,East
CUST_0069,2023-03-20,Unknown,South
CUST_0070,2023-02-23,Unknown,South
CUST_0071,2023-03-17,Unknown,West
CUST_0072,2023-04-11,Unknown,South
CUST_0073,2023-01-24,Unknown,West
CUST_0074,2023-04-04,Unknown,South
CUST_0075,2023-01-15,Unknown,North
CUST_0076,2023-02-22,Unknown,South
CUST_0077,2023-03-24,Unknown,West
CUST_0078,2023-04-25,Unknown,North
CUST_0079,2023-03-24,Unknown,South
CUST_0080,2023-03-18,Unknown,West
CUST_0081,2023-03-29,Unknown,East
CUST_0082,2023-02-13,Unknown,East
CUST_0083,2023-02-02,Unknown,East
CUST_0084,2023-01-24,Unknown,North
CUST_0085,2023-04-06,Unknown,East
CUST_0086,2023-05-01,Unknown,East
CUST_0087,2023-01-28,Unknown,West
CUST_0088,2023-04-09,Unknown,South
CUST_0089,2023-03-01,Unknown,North
CUST_0090,2023-04-25,Unknown,East
CUST_0091,2023-03-03,Unknown,North
CUST_0092,2023-03-08,Unknown,North
CUST_0093,2023-04-01,Unknown,South
CUST_0094,2023-03-01,Unknown,West
CUST_0095,2023-01-12,Unknown,South
CUST_0096,2023-04-02,Unknown,East
CUST_0097,2023-03-14,Unknown,South
CUST_0098,2023-03-18,Unknown,North
CUST_0099,2023-03-22,Unknown,North
CUST_0100,2023-02-06,Unknown,West
CUST_0101,2023-02-19,Unknown,North
CUST_0102,2023-04-15,Unknown,East
CUST_0103,2023-04-02,Unknown,North
CUST_0104,2023-03-21,Unknown,North
CUST_0105,2023-01-17,Unknown,South
CUST_0106,2023-01-05,Unknown,North
CUST_0107,2023-04-03,Unknown,South
CUST_0108,2023-04-02,Unknown,East
CUST_0109,2023-03-20,Unknown,East
CUST_0110,2023-03-11,Unknown,South
CUST_0111,2023-03-05,Unknown,North
CUST_0112,2023-03-16,Unknown,North
CUST_0113,2023-01-09,Unknown,North
CUST_0114,2023-04-23,Unknown,North
CUST_0115,2023-04-22,Unknown,East
CUST_0116,2023-01-10,Unknown,North
CUST_0117,2023-03-07,Unknown,South
CUST_0118,2023-01-01,Unknown,South
CUST_0119,2023-02-09,Unknown,East
CUST_0120,2023-03-31,Unknown,East
CUST_0121,2023-02-23,Unknown,North
CUST_0122,2023-01-18,Unknown,North
CUST_0123,2023-04-09,Unknown,South
CUST_0124,2023-03-20,Unknown,East
CUST_0125,2023-02-06,Unknown,North
CUST_0126,2023-01-18,Unknown,North
CUST_0127,2023-03-09,Unknown,West
CUST_0128,2023-03-16,Unknown,South
CUST_0129,2023-02-02,Unknown,East
CUST_0130,2023-03-24,Unknown,North
CUST_0131,2023-01-22,Unknown,South
CUST_0132,2023-03-15,Unknown,East
CUST_0133,2023-04-28,Unknown,North
CUST_0134,2023-02-14,Unknown,East
CUST_0135,2023-03-25,Unknown,East
CUST_0136,2023-01-29,Unknown,West
CUST_0137,2023-04-10,Unknown,West
CUST_0138,2023-01-06,Unknown,South
CUST_0139,2023-03-27,Unknown,West
CUST_0140,2023-03-19,Unknown,East
CUST_0141,2023-04-30,Unknown,East
CUST_0142,2023-04-03,Unknown,South
CUST_0143,2023-03-10,Unknown,East
CUST_0144,2023-03-29,Unknown,North
CUST_0145,2023-02-06,Unknown,South
CUST_0146,2023-01-27,Unknown,East
CUST_0147,2023-01-19,Unknown,North
CUST_0148,2023-02-16,Unknown,North
CUST_0149,2023-01-19,Unknown,West
CUST_0150,2023-03-10,Unknown,East
CUST_0151,2023-03-15,Unknown,North
CUST_0152,2023-02-27,Unknown,South
CUST_0153,2023-04-20,Unknown,West
CUST_0154,2023-01-23,Unknown,West
CUST_0155,2023-04-10,Unknown,East
CUST_0156,2023-04-15,Unknown,East
CUST_0157,2023-02-18,Unknown,North
CUST_0158,2023-04-26,Unknown,South
CUST_0159,2023-04-28,Unknown,West
CUST_0160,2023-02-25,Unknown,North
CUST_0161,2023-03-29,Unknown,West
CUST_0162,2023-01-09,Unknown,South
CUST_0163,2023-04-08,Unknown,West
CUST_0164,2023-02-04,Unknown,West
CUST_0165,2023-04-18,Unknown,West
CUST_0166,2023-03-31,Unknown,West
CUST_0167,2023-03-10,Unknown,South
CUST_0168,2023-03-18,Unknown,North
CUST_0169,2023-04-19,Unknown,West
CUST_0170,2023-02-23,Unknown,West
CUST_0171,2023-02-20,Unknown,West
CUST_0172,2023-02-04,Unknown,West
CUST_0173,2023-04-23,Unknown,East
CUST_0174,2023-04-08,Unknown,South
CUST_0175,2023-04-19,Unknown,East
CUST_0176,2023-04-28,Unknown,East
CUST_0177,2023-02-17,Unknown,North
